Country,2020,2021,2022
Croatia,0.0,0.0,0.0
Haiti,0.0,0.0,0.0
Hungary,0.0,0.0,0.0
Isle of Man,0.0,0.0,0.0
"Iran, Islamic Rep.",0.0,0.0,0.0
Iraq,0.0,0.0,0.0
Iceland,0.0,0.0,0.0
Jamaica,0.0,0.0,0.0
Jordan,0.0,0.0,0.0
Kazakhstan,0.0,0.0,0.0
Kenya,0.0,0.0,0.0
Kyrgyz Republic,0.0,0.0,0.0
Cambodia,0.0,0.0,0.0
Kiribati,0.0,0.0,0.0
St. Kitts and Nevis,0.0,0.0,0.0
Kuwait,0.0,0.0,0.0
Lao PDR,0.0,0.0,0.0
Lebanon,0.0,0.0,0.0
Liberia,0.0,0.0,0.0
Libya,0.0,0.0,0.0
St. Lucia,0.0,0.0,0.0
Liechtenstein,0.0,0.0,0.0
Sri Lanka,0.0,0.0,0.0
Lesotho,0.0,0.0,0.0
Lithuania,0.0,0.0,0.0
Luxembourg,0.0,0.0,0.0
Latvia,0.0,0.0,0.0
St. Martin (French part),0.0,0.0,0.0
Morocco,0.0,0.0,0.0
Monaco,0.0,0.0,0.0
Moldova,0.0,0.0,0.0
Madagascar,0.0,0.0,0.0
Maldives,0.0,0.0,0.0
Marshall Islands,0.0,0.0,0.0
North Macedonia,0.0,0.0,0.0
Mali,0.0,0.0,0.0
Malta,0.0,0.0,0.0
Myanmar,0.0,0.0,0.0
Montenegro,0.0,0.0,0.0
Mongolia,0.0,0.0,0.0
Northern Mariana Islands,0.0,0.0,0.0
Mozambique,0.0,0.0,0.0
Mauritania,0.0,0.0,0.0
Mauritius,0.0,0.0,0.0
Malawi,0.0,0.0,0.0
Malaysia,0.0,0.0,0.0
Namibia,0.0,0.0,0.0
New Caledonia,0.0,0.0,0.0
Niger,0.0,0.0,0.0
Nigeria,0.01,0.0,0.0
Nicaragua,0.0,0.0,0.0
Nepal,0.0,0.0,0.0
Nauru,0.0,0.0,0.0
New Zealand,0.0,0.0,0.0
Oman,0.0,0.0,0.0
Pakistan,0.0,0.0,0.0
Panama,0.0,0.0,0.0
Peru,0.0,0.0,0.0
Philippines,0.0,0.0,0.0
Palau,0.0,0.0,0.0
Papua New Guinea,0.0,0.0,0.0
Puerto Rico,0.0,0.0,0.0
"Korea, Dem. People's Rep.",0.0,0.0,0.0
Portugal,0.0,0.0,0.0
Paraguay,0.0,0.0,0.0
French Polynesia,0.0,0.0,0.0
Qatar,0.0,0.0,0.0
Romania,0.0,0.0,0.0
Rwanda,0.0,0.0,0.0
Sudan,0.0,0.0,0.0
Senegal,0.0,0.0,0.0
Singapore,0.0,0.0,0.0
Solomon Islands,0.0,0.0,0.0
Sierra Leone,0.0,0.0,0.0
El Salvador,0.0,0.0,0.0
San Marino,0.0,0.0,0.0
Somalia,0.0,0.0,0.0
Serbia,0.0,0.0,0.0
South Sudan,0.0,0.0,0.0
Sao Tome and Principe,0.0,0.0,0.0
Suriname,0.0,0.0,0.0
Slovak Republic,0.0,0.0,0.0
Slovenia,0.0,0.0,0.0
Eswatini,0.0,0.0,0.0
Sint Maarten (Dutch part),0.0,0.0,0.0
Seychelles,0.0,0.0,0.0
Syrian Arab Republic,0.0,0.0,0.0
Turks and Caicos Islands,0.0,0.0,0.0
Chad,0.0,0.0,0.0
Togo,0.0,0.0,0.0
Thailand,0.01,0.01,0.0
Tajikistan,0.0,0.0,0.0
Turkmenistan,0.0,0.0,0.0
Timor-Leste,0.0,0.0,0.0
Tonga,0.0,0.0,0.0
Trinidad and Tobago,0.0,0.0,0.0
Tunisia,0.0,0.0,0.0
Tuvalu,0.0,0.0,0.0
Tanzania,0.0,0.0,0.0
Uganda,0.0,0.0,0.0
Ukraine,0.0,0.0,0.0
Uruguay,0.0,0.0,0.0
Uzbekistan,0.0,0.0,0.0
St. Vincent and the Grenadines,0.0,0.0,0.0
"Venezuela, RB",0.0,0.0,0.0
British Virgin Islands,0.0,0.0,0.0
Virgin Islands (U.S.),0.0,0.0,0.0
Vietnam,0.0,0.0,0.0
Vanuatu,0.0,0.0,0.0
Samoa,0.0,0.0,0.0
Kosovo,0.0,0.0,0.0
"Yemen, Rep.",0.0,0.0,0.0
South Africa,0.0,0.0,0.0
Zambia,0.0,0.0,0.0
Zimbabwe,0.0,0.0,0.0
